Species
Lycaea pulex
Sicyonia typica
Homola barbata
Alpheus parvirostris
Athanas areteformis
Regioscalpellum regium
Lysiosquilla sulcirostris
Gennadas talismani
Oncaea tenuimana
Johngarthia weileri
Chaceon maritae
Microrchestia macrochela
Acanthephyra acutifrons
Thalamita spinifera
Cycloachelous orbicularis
Gelastocaris paronae
Munidopsis crenatirostris
Luniella scabriculus
Nephropsis atlantica
Platythelphusa idjiwiensis
Achelous affinis
Parasesarma kuekenthali
Metacrangon punctata
Plesionida aurelia
Ampelisca soleata
Caesaromysis hispida
Clibanarius tricolor
Scambicornus sewelli
Ergasilus bryconis
Aegiochus gracilipes
Persephona orbicularis
Pilumnus limosus
Dorodotes reflexus
Caridina cognata
Megalobrachium garthi
Venericythere papuensis
Corycaeus crassiusculus
Macrobrachium latidactylus
Lambrachaeus ramifer
Acanthephyra prionota
Polyonyx biunguiculatus
Tylocarcinus styx
Sternodromia spinirostris
Uca ornata
Albunea holthuisi
Pachygrapsus socius
Libinia mexicana
Thalamita iranica
Ephyrina childressi
Gebiacantha acanthochela
Armatobalanus quadrivittatus
Armadillidium granulatum
Calocalanus styliremis
Acartia tonsa
Haloptilus fertilis
Uroptychus brevisquamatus
Pennatulicola pterophilus
Parilia alcocki
Arenaeus mexicanus
Caridina dennerli
Petruca panamensis
Parapasiphae cristata
Lepidophthalmus jamaicense
Calcinus latens
Alpheus clypeatus
Paraxanthias notatus
Petrolisthes rufescens
Paramacrochiron japonicum
Pseudoliomera hellerii
Trachysalambria brevisuturae
Hemicytheridea cancellata
Kabutos durandi
Galathea boucheti
Dardanus sanguinolentus
Trapezionida aurantiaca
Macrobrachium zariquieyi
Chondrochelia dubia
Acanthephyra smithi
Liomera tristis
Pandarus satyrus
Glyptograpsus impressus
Ilyoplax dentata
Laubierinia carinata
Herbstia nitida
Heterostylites longicornis
Alocopocythere goujoni
Agrenocythere hazeli
Armadillidium tigris
Scina crassicornis
Amphithyrus bispinosus
Sicyonia disdorsalis
Lysiosquilloides mapia
Collocheres parvus
Ixa pulcherrima
Lauridromia intermedia
Panopeus austrobesus
Pelia rotunda
Hyalella pteropus
Atjehella semiplicata
Acartia erythraea
Euchirella amoena
Bathycuma elongatum
Parapasiphae sulcatifrons
Gonionida andamanica
Acetes erythraeus
Eumunida pacifica
Petrochirus californiensis
Catapagurus oculocrassus
Halice secunda
Doridicola aculeatus
Grapsus adscensionis
Calappa flammea
Hypocolpus abbotti
Caridina typus
Laomenes amboinensis
Neopisosoma mexicanum
Klebang barnardi
Lucicutia ovalis
Cirolana parva
